max_iter,duration
1,27.307170152664185
6,112.34762930870056
11,189.59032440185547
16,343.2777440547943
21,545.9560565948486
26,655.8801352977753
31,735.2217233181
36,934.8792443275452
41,1060.494319677353
46,1123.322782754898
1,34.19830298423767
6,154.41588521003723
11,268.1501109600067
16,410.7623596191406
21,545.6991651058197
26,622.8362855911255
31,773.9637033939362
36,909.4968287944794
41,1011.5270707607269
46,1141.2490742206573
1,32.16680407524109
6,155.6844630241394
11,264.5462522506714
16,408.3819360733032
21,530.5389671325684
26,638.0933587551117
31,770.9086534976959
36,891.1624913215637
41,975.1547908782959
46,1132.1160011291504
1,32.767932653427124
6,157.6163227558136
11,254.86853981018066
16,392.99159240722656
21,518.5526676177979
26,638.0875434875488
31,783.5045413970947
36,891.0938541889191
41,1031.8946030139923
46,1158.668925523758
1,30.453449726104736
6,144.44689464569092
11,278.1622996330261
16,391.51686358451843
21,525.6797654628754
26,647.0456321239471
31,773.8278915882111
36,887.2465109825134
41,1028.69793176651
46,1162.474220752716
1,32.02758526802063
6,150.96188044548035
11,257.84535026550293
16,394.63621187210083
21,525.6998400688171
26,636.8378210067749
31,774.8852372169495
36,943.1564431190491
41,1040.5965168476105
46,1150.5983712673187
1,31.916412115097046
6,145.56575655937195
11,273.60071778297424
16,365.7869403362274
21,515.5192260742188
26,649.4112765789032
31,775.3497784137726
36,861.672446012497
41,956.8476176261902
46,1167.637787103653
1,36.29634952545166
6,151.44316697120667
11,265.2613739967346
16,388.5403516292572
21,500.62347531318665
26,626.1070115566254
31,750.3254134654999
36,888.1696786880493
41,950.18212890625
46,1162.1302199363708
1,36.254339933395386
6,159.06261682510376
11,278.0246682167053
16,382.36735820770264
21,532.6504681110382
26,659.788360118866
31,752.8370821475983
36,892.5102045536041
41,1014.230762720108
46,1140.4868984222412
1,29.711967945098877
6,156.68740963935852
11,268.68712067604065
16,406.55091404914856
21,595.6233625411987
26,501.3135116100311
31,132.0859694480896
36,140.65985345840454
41,190.77160477638245
46,267.02266550064087
