n_bats,duration
37,37.39278173446655
39,39.7684588432312
41,41.95741653442383
43,44.25900077819824
45,46.95177626609802
47,48.18136692047119
49,52.22006011009216
1,1.0771000385284424
3,3.129297971725464
5,5.329778671264648
7,7.47122049331665
9,9.326208353042603
11,11.600797414779663
13,13.212833404541016
15,15.27616000175476
17,17.3153977394104
19,19.169800281524658
21,21.786812782287598
23,23.718037128448486
25,26.11921715736389
27,28.10183548927307
29,30.22136878967285
31,32.39968800544739
33,34.27653384208679
35,35.962411880493164
37,37.651224851608276
39,40.18236494064331
41,41.468289613723755
43,44.32957744598389
45,46.82913136482239
47,48.18421649932861
49,49.7882354259491
1,1.0725724697113037
3,3.0831358432769775
5,5.116734981536865
7,7.390898704528809
9,9.380388498306274
11,11.43285346031189
13,13.392526865005493
15,15.740797281265259
17,17.97249460220337
19,19.92086124420166
21,22.360012769699097
23,24.88515329360962
25,25.80388355255127
27,28.33940625190735
29,30.319689512252808
31,32.30655288696289
33,34.50413179397583
35,36.772390604019165
37,38.535057067871094
39,40.86513662338257
41,43.29573726654053
43,44.67044687271118
45,46.77648663520813
47,48.96210241317749
49,50.08201336860657
1,1.12302827835083
3,3.2291932106018066
5,5.391272068023682
7,7.548994302749634
9,9.597234010696411
11,11.520949125289917
13,13.538852453231812
15,15.990103483200073
17,18.114176511764526
19,19.46104645729065
21,21.54483413696289
23,24.70145058631897
25,26.39621615409851
27,28.049930810928345
29,29.315030336380005
31,32.58103561401367
33,34.3848922252655
35,36.89429473876953
37,38.74332666397095
39,40.022053956985474
41,43.23038649559021
43,45.17288327217102
45,46.45578908920288
47,49.48363757133484
49,51.60614585876465
1,1.0694208145141602
3,3.352180242538452
5,5.190417051315308
7,7.277207612991333
9,9.376472473144531
11,11.553903102874756
13,13.47525691986084
15,15.561945915222168
17,17.362881660461426
19,19.962462663650513
21,22.441858530044556
23,24.56837296485901
25,26.52454948425293
27,28.654610872268677
29,30.812467575073242
31,32.07541298866272
33,32.81069207191467
35,36.3455708026886
37,38.940051555633545
39,39.965224742889404
41,41.956445932388306
43,44.35845494270325
45,73.99459767341614
47,55.749356746673584
49,60.8835175037384
1,1.5677826404571533
3,4.744745254516602
5,7.4810943603515625
7,9.710144519805908
9,10.956632614135742
11,13.166960716247559
13,15.272053956985474
15,16.914682865142822
17,20.219139575958252
19,23.159703731536865
21,25.078540563583374
23,27.225055932998657
25,29.538448095321655
27,31.52560019493103
29,33.79470229148865
31,36.22384023666382
33,39.01209092140198
35,39.016035079956055
37,42.839069843292236
39,44.49628710746765
41,48.08777213096619
43,49.29173016548157
45,51.73311758041382
47,51.897570848464966
49,53.81288385391235
1,1.2400341033935547
3,3.6610331535339355
5,5.936420202255249
7,8.809385061264038
9,11.430979251861572
11,13.150664329528809
13,15.003371715545654
15,17.79798913002014
17,18.778078079223633
19,22.950050830841064
21,24.457549571990967
23,28.087791919708252
25,30.40727949142456
27,30.839284420013428
29,33.662179708480835
31,35.4806342124939
33,37.9715781211853
35,41.86111283302307
37,43.66421890258789
39,44.93656015396118
41,46.23592519760132
43,47.297693729400635
45,52.15106511116028
47,51.688374280929565
49,55.75944948196411
1,1.2534549236297607
3,3.5992348194122314
5,5.8363988399505615
7,8.266921520233154
9,10.594083786010742
11,12.538414716720581
13,15.117159128189087
15,17.448299169540405
17,19.76492404937744
19,22.722381830215454
21,25.310734510421753
23,25.61736750602722
25,29.360448360443115
27,30.925060987472534
29,32.939802408218384
31,36.80567240715027
33,39.25467300415039
35,39.40610313415527
37,41.99465322494507
39,45.80094575881958
41,45.93668293952942
43,50.83535599708557
45,50.95971608161926
47,54.41686248779297
49,56.93720579147339
1,1.2623224258422852
3,3.4647634029388428
5,5.9171247482299805
7,8.01213812828064
9,10.597794771194458
11,13.699828147888184
13,14.929656267166138
15,17.800503253936768
17,20.44458818435669
19,23.10780620574951
21,25.12218999862671
23,27.785409688949585
25,29.627991914749146
27,32.198997497558594
29,36.64078712463379
31,38.76288318634033
33,40.42946934700012
35,39.65161657333374
37,45.71749782562256
39,48.50791597366333
41,53.37959027290344
43,54.76505899429321
45,57.157639026641846
47,59.88028120994568
49,62.71257543563843
1,1.4784770011901855
3,3.900062322616577
5,6.857051610946655
7,8.940079927444458
9,11.7119779586792
11,14.091061115264893
13,16.98198652267456
15,19.313791275024414
17,21.908615112304688
19,24.240339279174805
21,27.508519649505615
23,29.105621814727783
25,31.994582176208496
27,34.9400429725647
29,37.57621741294861
31,39.78528189659119
33,42.750221729278564
35,43.988351821899414
37,47.15243887901306
39,47.83318781852722
41,50.79618811607361
43,55.040913105010986
45,57.37587809562683
47,61.4707305431366
49,61.34515333175659
1,1.330963373184204
3,3.6986656188964844
5,7.491302728652954
7,7.929985523223877
9,10.632619857788086
11,12.390931844711304
13,14.252440929412842
15,15.798656463623047
17,18.106126070022583
19,19.949456453323364
21,22.26911735534668
23,25.13698649406433
25,27.265361309051514
27,28.876415014266968
29,32.06553530693054
31,34.774556398391724
33,36.45993733406067
35,39.318379402160645
37,40.215508460998535
39,43.13218832015991
41,45.325493574142456
43,45.98505425453186
45,47.954933881759644
47,51.83167886734009
49,53.00298833847046
1,1.1999330520629883
3,3.2447893619537354
5,5.6017115116119385
7,7.618561267852783
9,9.840516090393066
11,12.210532903671265
13,14.45642352104187
15,16.849732875823975
17,18.334218740463257
19,20.254992246627808
21,22.477110624313354
23,25.641603708267212
25,27.447882175445557
27,30.22434139251709
29,31.913347721099854
31,33.725656032562256
33,35.05303907394409
35,37.77629232406616
37,40.305641412734985
39,43.029701232910156
41,46.50506067276001
43,48.6251163482666
45,48.676122426986694
47,51.58423733711243
49,54.479732275009155
1,1.076523780822754
3,3.4128456115722656
5,5.592829465866089
7,7.346298456192017
9,10.332775115966797
11,11.450104713439941
13,13.307198286056519
15,15.475286483764648
17,17.439367294311523
19,19.40254306793213
21,21.44789719581604
23,24.044160842895508
25,25.890007257461548
27,27.741413831710815
29,30.26022744178772
31,32.50750970840454
33,33.94036674499512
35,36.46122479438782
37,38.06783103942871
39,40.6424195766449
41,41.96598434448242
43,43.75013494491577
45,45.382922649383545
47,48.923616886138916
49,49.78292226791382
1,1.1364719867706299
3,3.216033935546875
5,5.238088846206665
7,7.211170196533203
9,9.150686502456665
11,11.403022766113281
13,13.29902195930481
15,15.32595181465149
17,17.366541385650635
19,19.153026819229126
21,22.093270540237427
23,24.050933122634888
25,26.241695880889893
27,28.52619171142578
29,30.085831880569458
31,32.529155015945435
33,34.38402438163757
35,36.521082162857056
37,38.19162964820862
39,40.69787406921387
41,42.42890691757202
43,43.80386757850647
45,45.065531730651855
47,48.317845821380615
49,50.08093070983887
1,1.0403523445129395
3,3.1514816284179688
5,5.2027575969696045
7,7.11432957649231
9,9.229872941970825
11,11.387589931488037
13,13.196435689926147
15,14.843526124954224
17,17.430675506591797
19,19.14187502861023
21,21.77910304069519
23,23.387104272842407
25,25.947657108306885
27,28.135191202163696
29,30.41538429260254
31,32.38498282432556
33,33.84276008605957
35,37.23989772796631
37,38.54594445228577
39,40.63278079032898
41,43.35066509246826
43,48.70327925682068
45,46.8285231590271
47,50.46781945228577
49,53.50029373168945
