max_iter,duration
1,28.6735098361969
6,113.77782964706421
11,207.02395296096802
16,316.6792507171631
21,427.18125462532043
26,535.1229610443115
31,595.4519567489624
36,701.0535655021667
41,784.333443403244
46,1158.4097669124603
1,33.72046947479248
6,148.3219335079193
11,276.80909037590027
16,386.6479654312134
21,541.2774214744568
26,688.0048651695251
31,815.5234305858612
36,871.7001256942749
41,1050.2698233127594
46,1155.255765914917
1,36.426506996154785
6,155.19753313064575
11,281.5037684440613
16,383.2912232875824
21,520.3540208339691
26,670.0589926242828
31,781.8315842151642
36,889.974217414856
41,1044.4243214130402
46,1092.909648656845
1,33.90415287017822
6,152.17327690124512
11,270.2990143299103
16,400.71873474121094
21,521.3053886890411
26,640.7797718048096
31,786.0219311714172
36,900.9034581184387
41,1032.1078171730042
46,1126.067598104477
1,31.635711431503296
6,145.75818395614624
11,280.52636528015137
16,371.32783818244934
21,525.8225576877594
26,645.2429163455963
31,772.5539262294769
36,889.2353417873383
41,1040.6704680919647
46,1144.7263090610504
1,31.357685089111328
6,153.79751634597778
11,278.37261986732483
16,400.1668436527252
21,526.6564989089966
26,627.3209993839264
31,791.9485495090485
36,878.2908155918121
41,1013.2493298053741
46,1130.6367292404175
1,34.35137128829956
6,160.5888011455536
11,290.79294204711914
16,383.8421268463135
21,542.381231546402
26,716.2917885780334
31,775.5801160335541
36,854.6357746124268
41,1060.2523787021637
46,1134.1904609203339
1,33.14811086654663
6,156.54956364631653
11,282.64645624160767
16,393.4724612236023
21,515.2550294399261
26,654.5677704811096
31,759.9972765445709
36,899.9259526729584
41,1052.45183801651
46,1164.7509598731995
1,31.831814289093018
6,148.29101037979126
11,285.31575298309326
16,394.4959030151367
21,530.7717430591583
26,653.2462902069092
31,794.2963056564331
36,887.5174412727356
41,1015.599526643753
46,1158.8069593906403
1,31.93114423751831
6,146.77214312553406
11,278.0259110927582
16,388.45967197418213
21,523.2215430736542
26,637.5541849136353
31,768.5406396389008
36,893.8402378559113
41,1041.1131982803345
46,823.6491222381592
