alpha,best_fitness
0.1,0.9605263157894737
0.30000000000000004,0.9736842105263158
0.5000000000000001,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.9000000000000001,0.9605263157894737
0.1,0.9736842105263158
0.30000000000000004,0.9605263157894737
0.5000000000000001,0.9605263157894737
0.7000000000000001,0.9473684210526315
0.9000000000000001,0.9736842105263158
0.1,0.9605263157894737
0.30000000000000004,0.9605263157894737
0.5000000000000001,0.9605263157894737
0.7000000000000001,0.9736842105263158
0.9000000000000001,0.9736842105263158
0.1,0.9605263157894737
0.30000000000000004,0.9605263157894737
0.5000000000000001,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.9000000000000001,0.9605263157894737
0.1,0.9605263157894737
0.30000000000000004,0.9605263157894737
0.5000000000000001,0.9736842105263158
0.7000000000000001,0.9605263157894737
0.9000000000000001,0.9736842105263158
0.1,0.9736842105263158
0.30000000000000004,0.9736842105263158
0.5000000000000001,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.9000000000000001,0.9605263157894737
0.1,0.9605263157894737
0.30000000000000004,0.9605263157894737
0.5000000000000001,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.9000000000000001,0.9473684210526315
0.1,0.9605263157894737
0.30000000000000004,0.9605263157894737
0.5000000000000001,0.9605263157894737
0.7000000000000001,0.9473684210526315
0.9000000000000001,0.9605263157894737
0.1,0.9605263157894737
0.30000000000000004,0.9473684210526315
0.5000000000000001,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.9000000000000001,0.9473684210526315
0.1,0.9605263157894737
0.30000000000000004,0.9605263157894737
0.5000000000000001,0.9473684210526315
0.7000000000000001,0.9473684210526315
0.9000000000000001,0.9605263157894737
0.1,0.9605263157894737
0.30000000000000004,0.9605263157894737
0.5000000000000001,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.9000000000000001,0.9736842105263158
0.1,0.9605263157894737
0.30000000000000004,0.9736842105263158
0.5000000000000001,0.9473684210526315
0.7000000000000001,0.9736842105263158
0.9000000000000001,0.9473684210526315
0.1,0.9605263157894737
0.30000000000000004,0.9605263157894737
0.5000000000000001,0.9605263157894737
0.7000000000000001,0.9736842105263158
0.9000000000000001,0.9736842105263158
0.1,0.9605263157894737
0.30000000000000004,0.9736842105263158
0.5000000000000001,0.9736842105263158
0.7000000000000001,0.9736842105263158
0.9000000000000001,0.9605263157894737
0.1,0.9605263157894737
0.30000000000000004,0.9736842105263158
0.5000000000000001,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.9000000000000001,0.9736842105263158
0.1,0.9605263157894737
0.30000000000000004,0.9473684210526315
0.5000000000000001,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.9000000000000001,0.9605263157894737
0.1,0.9473684210526315
0.30000000000000004,0.9605263157894737
0.5000000000000001,0.9736842105263158
0.7000000000000001,0.9605263157894737
0.9000000000000001,0.9605263157894737
0.1,0.9605263157894737
0.30000000000000004,0.9605263157894737
0.5000000000000001,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.9000000000000001,0.9605263157894737
0.1,0.9605263157894737
0.30000000000000004,0.9605263157894737
0.5000000000000001,0.9736842105263158
0.7000000000000001,0.9473684210526315
0.9000000000000001,0.9736842105263158
0.1,0.9605263157894737
0.30000000000000004,0.9605263157894737
0.5000000000000001,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.9000000000000001,0.9605263157894737
