n_bats,best_fitness
1,0.9302631578947368
3,0.9414473684210526
5,0.944078947368421
7,0.9480263157894736
9,0.9513157894736842
11,0.9513157894736842
13,0.9506578947368421
15,0.9559210526315789
17,0.9546052631578947
19,0.9552631578947368
21,0.9578947368421054
23,0.9565789473684211
25,0.9539473684210525
27,0.9559210526315789
29,0.9552631578947368
31,0.9598684210526315
33,0.9565789473684211
35,0.9611842105263158
37,0.9578947368421054
39,0.9559210526315789
41,0.9598684210526315
43,0.9585526315789474
45,0.9618421052631578
47,0.9592105263157894
49,0.9625
