gamma,best_fitness
0.1,0.9736842105263158
0.2,0.9605263157894737
0.30000000000000004,0.9473684210526315
0.4,0.9605263157894737
0.5,0.9473684210526315
0.6,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.8,0.9605263157894737
0.9,0.9605263157894737
1.0,0.9605263157894737
0.1,0.9473684210526315
0.2,0.9868421052631579
0.30000000000000004,0.9605263157894737
0.4,0.9605263157894737
0.5,0.9605263157894737
0.6,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.8,0.9605263157894737
0.9,0.9736842105263158
1.0,0.9473684210526315
0.1,0.9605263157894737
0.2,0.9605263157894737
0.30000000000000004,0.9473684210526315
0.4,0.9473684210526315
0.5,0.9736842105263158
0.6,0.9736842105263158
0.7000000000000001,0.9605263157894737
0.8,0.9605263157894737
0.9,0.9736842105263158
1.0,0.9473684210526315
0.1,0.9605263157894737
0.2,0.9605263157894737
0.30000000000000004,0.9605263157894737
0.4,0.9605263157894737
0.5,0.9605263157894737
0.6,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.8,0.9605263157894737
0.9,0.9736842105263158
1.0,0.9605263157894737
0.1,0.9605263157894737
0.2,0.9605263157894737
0.30000000000000004,0.9736842105263158
0.4,0.9736842105263158
0.5,0.9605263157894737
0.6,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.8,0.9605263157894737
0.9,0.9473684210526315
1.0,0.9736842105263158
0.1,0.9736842105263158
0.2,0.9736842105263158
0.30000000000000004,0.9605263157894737
0.4,0.9473684210526315
0.5,0.9473684210526315
0.6,0.9473684210526315
0.7000000000000001,0.9736842105263158
0.8,0.9605263157894737
0.9,0.9605263157894737
1.0,0.9473684210526315
0.1,0.9605263157894737
0.2,0.9605263157894737
0.30000000000000004,0.9605263157894737
0.4,0.9473684210526315
0.5,0.9605263157894737
0.6,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.8,0.9473684210526315
0.9,0.9736842105263158
1.0,0.9736842105263158
0.1,0.9605263157894737
0.2,0.9473684210526315
0.30000000000000004,0.9736842105263158
0.4,0.9473684210526315
0.5,0.9473684210526315
0.6,0.9736842105263158
0.7000000000000001,0.9605263157894737
0.8,0.9605263157894737
0.9,0.9736842105263158
1.0,0.9605263157894737
0.1,0.9605263157894737
0.2,0.9605263157894737
0.30000000000000004,0.9605263157894737
0.4,0.9736842105263158
0.5,0.9605263157894737
0.6,0.9473684210526315
0.7000000000000001,0.9736842105263158
0.8,0.9605263157894737
0.9,0.9473684210526315
1.0,0.9605263157894737
0.1,0.9605263157894737
0.2,0.9605263157894737
0.30000000000000004,0.9736842105263158
0.4,0.9605263157894737
0.5,0.9605263157894737
0.6,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.8,0.9473684210526315
0.9,0.9605263157894737
1.0,0.9605263157894737
0.1,0.9736842105263158
0.2,0.9605263157894737
0.30000000000000004,0.9736842105263158
0.4,0.9736842105263158
0.5,0.9605263157894737
0.6,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.8,0.9605263157894737
0.9,0.9605263157894737
1.0,0.9605263157894737
0.1,0.9605263157894737
0.2,0.9736842105263158
0.30000000000000004,0.9736842105263158
0.4,0.9605263157894737
0.5,0.9473684210526315
0.6,0.9736842105263158
0.7000000000000001,0.9736842105263158
0.8,0.9605263157894737
0.9,0.9473684210526315
1.0,0.9605263157894737
0.1,0.9473684210526315
0.2,0.9605263157894737
0.30000000000000004,0.9473684210526315
0.4,0.9605263157894737
0.5,0.9605263157894737
0.6,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.8,0.9605263157894737
0.9,0.9605263157894737
1.0,0.9605263157894737
0.1,0.9605263157894737
0.2,0.9736842105263158
0.30000000000000004,0.9605263157894737
0.4,0.9736842105263158
0.5,0.9736842105263158
0.6,0.9736842105263158
0.7000000000000001,0.9736842105263158
0.8,0.9473684210526315
0.9,0.9605263157894737
1.0,0.9605263157894737
0.1,0.9605263157894737
0.2,0.9473684210526315
0.30000000000000004,0.9605263157894737
0.4,0.9605263157894737
0.5,0.9605263157894737
0.6,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.8,0.9473684210526315
0.9,0.9473684210526315
1.0,0.9736842105263158
0.1,0.9736842105263158
0.2,0.9605263157894737
0.30000000000000004,0.9605263157894737
0.4,0.9736842105263158
0.5,0.9605263157894737
0.6,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.8,0.9605263157894737
0.9,0.9605263157894737
1.0,0.9473684210526315
0.1,0.9605263157894737
0.2,0.9473684210526315
0.30000000000000004,0.9605263157894737
0.4,0.9605263157894737
0.5,0.9736842105263158
0.6,0.9473684210526315
0.7000000000000001,0.9605263157894737
0.8,0.9605263157894737
0.9,0.9605263157894737
1.0,0.9605263157894737
0.1,0.9605263157894737
0.2,0.9473684210526315
0.30000000000000004,0.9605263157894737
0.4,0.9605263157894737
0.5,0.9605263157894737
0.6,0.9605263157894737
0.7000000000000001,0.9605263157894737
0.8,0.9605263157894737
0.9,0.9605263157894737
1.0,0.9605263157894737
0.1,0.9605263157894737
