gamma,duration
0.1,295.5471930503845
1.1,267.27021884918213
2.1,254.5095808506012
3.1,250.69029450416565
4.1,251.54397749900818
5.1,251.92586731910706
6.1,243.13475465774536
7.1,244.27951526641846
8.1,246.08101725578308
9.1,248.1101586818695
0.1,251.00125241279602
1.1,244.02415108680725
2.1,253.20421767234802
3.1,252.27785849571228
4.1,249.79856276512146
5.1,246.042085647583
6.1,254.9928798675537
7.1,249.12537240982056
8.1,246.53863835334778
9.1,252.0514416694641
0.1,255.97061777114868
1.1,251.55939507484436
2.1,255.9224910736084
3.1,253.27982330322266
4.1,243.74631524085999
5.1,252.0225224494934
6.1,254.69240260124207
7.1,257.2075529098511
8.1,252.38885235786438
9.1,253.292462348938
0.1,240.74296140670776
1.1,248.48500037193298
2.1,254.7419011592865
3.1,256.28452229499817
4.1,251.31317973136902
5.1,252.19132328033447
6.1,249.89072012901306
7.1,250.3108389377594
8.1,247.28083205223083
9.1,250.89728116989136
0.1,252.22411394119263
1.1,259.1114649772644
2.1,253.2510735988617
3.1,255.48742127418518
4.1,246.92296242713928
5.1,250.66684341430664
6.1,260.4187042713165
7.1,252.84896969795227
8.1,259.9349801540375
9.1,253.56617784500122
0.1,252.7464747428894
1.1,257.28843879699707
2.1,255.9001395702362
3.1,255.95549035072327
4.1,254.5274956226349
5.1,260.4315736293793
6.1,258.4433808326721
7.1,254.53292798995972
8.1,251.47793436050415
9.1,256.47557067871094
0.1,260.1136302947998
1.1,260.40127396583557
2.1,253.20661759376526
3.1,255.95369791984558
4.1,250.22989583015442
5.1,262.46716499328613
6.1,255.65389585494995
7.1,257.3223977088928
8.1,258.3741567134857
9.1,265.07699036598206
0.1,259.53694009780884
1.1,263.2644443511963
2.1,259.12163043022156
3.1,262.2455298900604
4.1,258.77266478538513
5.1,261.6687366962433
6.1,256.17769956588745
7.1,260.0980935096741
8.1,259.27643942832947
9.1,262.89467453956604
0.1,259.80725288391113
1.1,262.4008777141571
2.1,263.4984562397003
3.1,261.08861088752747
4.1,260.36485838890076
5.1,264.39935874938965
6.1,261.60108613967896
7.1,270.0628159046173
8.1,267.16216683387756
9.1,269.146879196167
0.1,259.50872683525085
1.1,260.72939348220825
2.1,256.8230650424957
3.1,259.9391596317291
4.1,268.6922552585602
5.1,265.0958786010742
6.1,262.26196789741516
7.1,254.20952463150024
8.1,260.55216574668884
9.1,249.30650162696838
0.1,259.9087800979614
1.1,248.58408427238464
2.1,262.91395807266235
3.1,263.7994558811188
4.1,261.55032563209534
5.1,260.16879391670227
6.1,251.0232925415039
7.1,263.5493743419647
8.1,263.8317537307739
9.1,269.82785534858704
0.1,266.45181608200073
1.1,266.4640245437622
2.1,250.4226770401001
3.1,266.4814748764038
4.1,267.1493835449219
5.1,270.8880925178528
6.1,273.24546790122986
7.1,262.83556866645813
8.1,257.36925315856934
9.1,264.6099946498871
0.1,264.4317307472229
1.1,265.3144953250885
2.1,259.55737805366516
3.1,265.4294002056122
4.1,266.57950377464294
5.1,271.1799395084381
6.1,266.2080328464508
7.1,268.7838728427887
8.1,269.1409764289856
9.1,274.28960728645325
0.1,263.48431849479675
1.1,276.8219563961029
2.1,268.09459686279297
3.1,270.54341888427734
4.1,258.9056873321533
5.1,270.20957255363464
6.1,262.68632316589355
7.1,278.2185637950897
8.1,269.3399693965912
9.1,266.7839903831482
0.1,264.47398614883423
1.1,262.1322011947632
2.1,265.8923602104187
3.1,267.9451198577881
4.1,266.8984627723694
5.1,264.51356744766235
6.1,280.43905234336853
7.1,275.57807660102844
8.1,274.1813771724701
9.1,272.4632396697998
0.1,268.3251209259033
1.1,266.1313314437866
2.1,272.6566119194031
3.1,271.5081181526184
4.1,270.79617404937744
5.1,266.59514927864075
6.1,264.1020529270172
7.1,270.4422574043274
8.1,268.34568333625793
9.1,276.1695704460144
0.1,277.18473291397095
1.1,268.66265535354614
2.1,268.5914878845215
3.1,273.6550281047821
4.1,271.7139835357666
5.1,273.91939997673035
6.1,260.65159010887146
7.1,275.9595844745636
8.1,272.9892466068268
9.1,272.5109672546387
0.1,274.5673267841339
1.1,271.6108150482178
2.1,271.78013014793396
3.1,270.67769503593445
4.1,268.9398126602173
5.1,269.41408705711365
6.1,283.57534885406494
7.1,277.01399636268616
8.1,280.11237597465515
9.1,282.31505012512207
0.1,276.98772716522217
1.1,284.87300062179565
2.1,277.6502606868744
3.1,277.3014850616455
4.1,275.07245540618896
5.1,278.23343777656555
6.1,278.4275243282318
7.1,397.85736989974976
8.1,406.3746004104614
9.1,409.3284785747528
0.1,407.0014250278473
1.1,403.7083191871643
2.1,282.4460895061493
3.1,278.5744717121124
4.1,281.597736120224
5.1,274.0726680755615
6.1,284.81930923461914
7.1,280.18527388572693
8.1,279.42351484298706
9.1,280.3727879524231
