gamma,best_fitness
0.1,0.9473684210526315
1.1,0.9605263157894737
2.1,0.9736842105263158
3.1,0.9605263157894737
4.1,0.9473684210526315
5.1,0.9605263157894737
6.1,0.9605263157894737
7.1,0.9605263157894737
8.1,0.9605263157894737
9.1,0.9605263157894737
0.1,0.9605263157894737
1.1,0.9605263157894737
2.1,0.9868421052631579
3.1,0.9605263157894737
4.1,0.9473684210526315
5.1,0.9605263157894737
6.1,0.9605263157894737
7.1,0.9473684210526315
8.1,0.9473684210526315
9.1,0.9605263157894737
0.1,0.9605263157894737
1.1,0.9605263157894737
2.1,0.9605263157894737
3.1,0.9605263157894737
4.1,0.9605263157894737
5.1,0.9736842105263158
6.1,0.9605263157894737
7.1,0.9473684210526315
8.1,0.9605263157894737
9.1,0.9473684210526315
0.1,0.9605263157894737
1.1,0.9605263157894737
2.1,0.9605263157894737
3.1,0.9473684210526315
4.1,0.9605263157894737
5.1,0.9605263157894737
6.1,0.9473684210526315
7.1,0.9736842105263158
8.1,0.9605263157894737
9.1,0.9605263157894737
0.1,0.9605263157894737
1.1,0.9605263157894737
2.1,0.9473684210526315
3.1,0.9605263157894737
4.1,0.9473684210526315
5.1,0.9605263157894737
6.1,0.9736842105263158
7.1,0.9605263157894737
8.1,0.9605263157894737
9.1,0.9473684210526315
0.1,0.9605263157894737
1.1,0.9473684210526315
2.1,0.9736842105263158
3.1,0.9736842105263158
4.1,0.9605263157894737
5.1,0.9605263157894737
6.1,0.9605263157894737
7.1,0.9605263157894737
8.1,0.9605263157894737
9.1,0.9473684210526315
0.1,0.9736842105263158
1.1,0.9605263157894737
2.1,0.9473684210526315
3.1,0.9736842105263158
4.1,0.9605263157894737
5.1,0.9605263157894737
6.1,0.9473684210526315
7.1,0.9605263157894737
8.1,0.9605263157894737
9.1,0.9473684210526315
0.1,0.9605263157894737
1.1,0.9736842105263158
2.1,0.9605263157894737
3.1,0.9605263157894737
4.1,0.9473684210526315
5.1,0.9736842105263158
6.1,0.9605263157894737
7.1,0.9605263157894737
8.1,0.9605263157894737
9.1,0.9605263157894737
0.1,0.9605263157894737
1.1,0.9605263157894737
2.1,0.9736842105263158
3.1,0.9473684210526315
4.1,0.9605263157894737
5.1,0.9473684210526315
6.1,0.9605263157894737
7.1,0.9605263157894737
8.1,0.9605263157894737
9.1,0.9605263157894737
0.1,0.9605263157894737
1.1,0.9605263157894737
2.1,0.9605263157894737
3.1,0.9605263157894737
4.1,0.9605263157894737
5.1,0.9605263157894737
6.1,0.9605263157894737
7.1,0.9605263157894737
8.1,0.9736842105263158
9.1,0.9473684210526315
0.1,0.9605263157894737
1.1,0.9605263157894737
2.1,0.9605263157894737
3.1,0.9736842105263158
4.1,0.9605263157894737
5.1,0.9473684210526315
6.1,0.9605263157894737
7.1,0.9605263157894737
8.1,0.9605263157894737
9.1,0.9473684210526315
0.1,0.9605263157894737
1.1,0.9473684210526315
2.1,0.9605263157894737
3.1,0.9605263157894737
4.1,0.9605263157894737
5.1,0.9605263157894737
6.1,0.9473684210526315
7.1,0.9605263157894737
8.1,0.9605263157894737
9.1,0.9605263157894737
0.1,0.9605263157894737
1.1,0.9605263157894737
2.1,0.9473684210526315
3.1,0.9605263157894737
4.1,0.9605263157894737
5.1,0.9605263157894737
6.1,0.9736842105263158
7.1,0.9605263157894737
8.1,0.9605263157894737
9.1,0.9605263157894737
0.1,0.9605263157894737
1.1,0.9605263157894737
2.1,0.9605263157894737
3.1,0.9473684210526315
4.1,0.9605263157894737
5.1,0.9605263157894737
6.1,0.9605263157894737
7.1,0.9473684210526315
8.1,0.9605263157894737
9.1,0.9605263157894737
0.1,0.9736842105263158
1.1,0.9736842105263158
2.1,0.9736842105263158
3.1,0.9605263157894737
4.1,0.9473684210526315
5.1,0.9736842105263158
6.1,0.9605263157894737
7.1,0.9473684210526315
8.1,0.9473684210526315
9.1,0.9736842105263158
0.1,0.9605263157894737
1.1,0.9605263157894737
2.1,0.9605263157894737
3.1,0.9605263157894737
4.1,0.9605263157894737
5.1,0.9473684210526315
6.1,0.9605263157894737
7.1,0.9605263157894737
8.1,0.9605263157894737
9.1,0.9473684210526315
0.1,0.9605263157894737
1.1,0.9473684210526315
2.1,0.9736842105263158
3.1,0.9736842105263158
4.1,0.9605263157894737
5.1,0.9736842105263158
6.1,0.9605263157894737
7.1,0.9605263157894737
8.1,0.9605263157894737
9.1,0.9736842105263158
0.1,0.9605263157894737
1.1,0.9605263157894737
2.1,0.9736842105263158
3.1,0.9605263157894737
4.1,0.9868421052631579
5.1,0.9473684210526315
6.1,0.9605263157894737
7.1,0.9473684210526315
8.1,0.9605263157894737
9.1,0.9605263157894737
0.1,0.9736842105263158
1.1,0.9605263157894737
2.1,0.9605263157894737
3.1,0.9605263157894737
4.1,0.9605263157894737
5.1,0.9605263157894737
6.1,0.9605263157894737
7.1,0.9605263157894737
8.1,0.9605263157894737
9.1,0.9605263157894737
0.1,0.9605263157894737
1.1,0.9605263157894737
2.1,0.9473684210526315
3.1,0.9473684210526315
4.1,0.9605263157894737
5.1,0.9736842105263158
6.1,0.9605263157894737
7.1,0.9605263157894737
8.1,0.9605263157894737
9.1,0.9605263157894737
