alpha,duration
0.1,441.5545654296875
0.2,415.41591691970825
0.3,401.78887462615967
0.4,415.73745918273926
0.5,363.9206840991974
0.6,357.46270060539246
0.7,368.9807848930359
0.8,381.2957079410553
0.9,374.0583109855652
0.1,377.7993860244751
0.2,376.139600276947
0.3,383.55479979515076
0.4,392.52402114868164
0.5,392.32686853408813
0.6,381.58106994628906
0.7,331.22859811782837
0.8,292.92734122276306
0.9,301.46420884132385
0.1,316.02615237236023
0.2,314.6660933494568
0.3,299.2820301055908
0.4,313.73660802841187
0.5,315.1832091808319
0.6,312.5826292037964
0.7,320.4917862415314
0.8,312.78255128860474
0.9,284.0620448589325
0.1,253.865980386734
0.2,252.95030069351196
0.3,256.7689006328583
0.4,255.0073697566986
0.5,259.90164494514465
0.6,261.9482367038727
0.7,263.855833530426
0.8,271.9555480480194
0.9,269.611545085907
0.1,275.24551582336426
0.2,270.00990080833435
0.3,271.6882336139679
0.4,267.3980875015259
0.5,258.94967794418335
0.6,256.0281615257263
0.7,257.78809571266174
0.8,250.77536797523499
0.9,252.2655348777771
0.1,256.29185128211975
0.2,247.62914967536926
0.3,262.1555631160736
0.4,250.40705847740173
0.5,261.33232069015503
0.6,254.59017086029053
0.7,255.3094027042389
0.8,252.12420272827148
0.9,252.94142508506775
0.1,259.2672646045685
0.2,248.7121455669403
0.3,271.49407863616943
0.4,260.4889440536499
0.5,286.3766951560974
0.6,264.001588344574
0.7,268.1100115776062
0.8,253.5219488143921
0.9,255.3093831539154
0.1,264.43136763572693
0.2,264.33566331863403
0.3,263.0654945373535
0.4,263.9652807712555
0.5,266.17778301239014
0.6,259.358136177063
0.7,268.09351086616516
0.8,248.36142873764038
0.9,263.72011137008667
0.1,265.0898861885071
0.2,261.530889749527
0.3,271.27047991752625
0.4,268.22225427627563
0.5,269.0615327358246
0.6,262.8874044418335
0.7,257.39779138565063
0.8,257.10604548454285
0.9,257.37932109832764
0.1,267.6741142272949
0.2,268.31388807296753
0.3,268.08185362815857
0.4,251.8851034641266
0.5,254.9936821460724
0.6,363.3878183364868
0.7,356.9969711303711
0.8,362.7535562515259
0.9,342.60267996788025
0.1,345.7305579185486
0.2,342.780339717865
0.3,334.2857418060303
0.4,333.96278500556946
0.5,334.7516610622406
0.6,356.49649357795715
0.7,278.853271484375
0.8,266.28441095352173
0.9,261.97909665107727
0.1,273.2961413860321
0.2,295.392550945282
0.3,310.78560066223145
0.4,319.4586184024811
0.5,301.23430943489075
0.6,309.9347665309906
0.7,285.3734884262085
0.8,272.06043338775635
0.9,282.9795961380005
0.1,280.9266927242279
0.2,268.9887766838074
0.3,371.8564624786377
0.4,298.9245162010193
0.5,299.9479031562805
0.6,277.88745498657227
0.7,289.85529804229736
0.8,304.209933757782
0.9,278.76656913757324
0.1,298.8632957935333
0.2,310.4221065044403
0.3,316.68879771232605
0.4,301.09247374534607
0.5,280.8864777088165
0.6,295.3402817249298
0.7,292.7710416316986
0.8,321.7870192527771
0.9,284.7253930568695
0.1,275.7723512649536
0.2,297.99682688713074
0.3,304.93071699142456
0.4,288.69704365730286
0.5,285.60461497306824
0.6,302.19976139068604
0.7,305.7342097759247
0.8,293.653281211853
0.9,329.56203722953796
0.1,328.6109371185303
0.2,353.3261182308197
0.3,341.5898087024689
0.4,337.43295907974243
0.5,397.7902641296387
0.6,438.393963098526
0.7,351.8793845176697
0.8,396.0016269683838
0.9,400.430207490921
0.1,412.920047044754
0.2,411.9085924625397
0.3,408.6470191478729
0.4,409.98450803756714
0.5,412.45173692703247
0.6,275.14636492729187
0.7,272.3325238227844
0.8,272.9712829589844
0.9,270.54919147491455
0.1,273.6796905994415
0.2,274.4477252960205
0.3,258.671302318573
0.4,302.0646197795868
0.5,294.02581453323364
0.6,284.3896462917328
0.7,279.8125638961792
0.8,267.42860102653503
0.9,264.88327503204346
0.1,346.143381357193
0.2,462.0548288822174
0.3,436.67403054237366
0.4,423.6477921009064
0.5,336.21790504455566
0.6,339.03823828697205
0.7,433.2143232822418
0.8,377.6295750141144
0.9,316.10305881500244
0.1,361.17377066612244
0.2,338.0195095539093
0.3,289.497918844223
0.4,256.4232933521271
0.5,254.62290358543396
0.6,251.04224014282227
0.7,263.19280672073364
0.8,224.64514541625977
0.9,210.17377281188965
