gamma,best_fitness
0.1,0.9631578947368421
0.6,0.9618421052631578
1.1,0.9605263157894737
1.6,0.9625
2.1,0.9625
2.6,0.9611842105263158
3.1,0.9578947368421054
3.6,0.9618421052631578
4.1,0.9611842105263158
4.6,0.9592105263157894
