n_bats,duration
1,1.1654072999954224
3,3.390171933174133
5,5.7391516208648685
7,7.7365551590919495
9,9.895197415351868
11,12.038041520118714
13,13.965200805664063
15,16.117719280719758
17,18.155316603183746
19,20.44662868976593
21,22.901088285446168
23,24.974202120304106
25,27.191582107543944
27,29.296777510643004
29,31.572650575637816
31,33.85384031534195
33,35.69253541231156
35,37.76249759197235
37,39.94908627271652
39,42.120038783550264
41,44.315614306926726
43,46.38676782846451
45,49.726187682151796
47,51.09083281755447
49,53.410580563545224
