alpha,duration
0.1,439.82055377960205
0.2,412.18342089653015
0.3,386.0191524028778
0.4,416.42372393608093
0.5,371.69318866729736
0.6,355.5765919685364
0.7,366.7273750305176
0.8,384.6664571762085
0.9,351.53499722480774
0.1,363.6625986099243
0.2,382.8799567222595
0.3,388.06518030166626
0.4,387.8282377719879
0.5,389.8354423046112
0.6,382.41988945007324
0.7,342.79494404792786
0.8,293.4881315231323
0.9,295.7904407978058
0.1,317.90218138694763
0.2,314.69366455078125
0.3,311.5910339355469
0.4,308.6754367351532
0.5,309.0298430919647
0.6,306.91057085990906
0.7,312.925576210022
0.8,310.21917605400085
0.9,288.0808506011963
0.1,244.60374283790588
0.2,250.83769249916077
0.3,250.4624547958374
0.4,254.84005165100098
0.5,251.23899817466736
0.6,265.98459815979004
0.7,267.8654992580414
0.8,272.3519206047058
0.9,268.42764234542847
0.1,276.34815979003906
0.2,271.5406725406647
0.3,271.7665705680847
0.4,267.8749330043793
0.5,268.28388714790344
0.6,257.2380073070526
0.7,256.80538296699524
0.8,244.64825248718262
0.9,259.48905420303345
0.1,257.3296248912811
0.2,256.85738039016724
0.3,260.0008087158203
0.4,257.7383441925049
0.5,256.52652525901794
0.6,252.37444710731506
0.7,257.517808675766
0.8,255.7562072277069
0.9,256.068678855896
0.1,264.1470332145691
0.2,247.93438601493835
0.3,269.51388454437256
0.4,266.4811820983887
0.5,289.37148880958557
0.6,256.02731585502625
0.7,272.46983456611633
0.8,255.97214698791504
0.9,251.65786361694336
0.1,257.78693294525146
0.2,256.34998774528503
0.3,254.8134365081787
0.4,263.6303131580353
0.5,255.78824520111084
0.6,260.86619234085083
0.7,275.28084540367126
0.8,260.7584824562073
0.9,256.32196712493896
0.1,262.2933599948883
0.2,269.3004677295685
0.3,265.22344398498535
0.4,266.91781973838806
0.5,270.2252595424652
0.6,259.60650730133057
0.7,261.53347182273865
0.8,258.6672132015228
0.9,243.681795835495
0.1,271.4834690093994
0.2,266.0077431201935
0.3,268.4556088447571
0.4,266.16973066329956
0.5,258.73627376556396
0.6,352.7141010761261
0.7,361.2475335597992
0.8,349.8255043029785
0.9,343.8696119785309
0.1,358.1850640773773
0.2,346.87990713119507
0.3,348.0619990825653
0.4,329.9625527858734
0.5,340.08923721313477
0.6,353.40708208084106
0.7,284.8297836780548
0.8,264.982058763504
0.9,260.85676646232605
0.1,275.9988751411438
0.2,294.4042749404907
0.3,305.882217168808
0.4,320.9328508377075
0.5,291.1327385902405
0.6,318.95005917549133
0.7,272.0649471282959
0.8,281.93603467941284
0.9,271.911972284317
0.1,285.6886131763458
0.2,272.78426361083984
0.3,375.1213583946228
0.4,296.6424717903137
0.5,314.9608495235443
0.6,285.41331696510315
0.7,289.025089263916
0.8,301.0201270580292
0.9,272.45990109443665
0.1,292.73481011390686
0.2,297.73704624176025
0.3,314.738970041275
0.4,290.84694647789
0.5,269.37160778045654
0.6,295.29317903518677
0.7,297.02496361732483
0.8,306.93569254875183
0.9,298.45478105545044
0.1,296.6592609882355
0.2,293.5164906978607
0.3,302.62389731407166
0.4,303.984219789505
0.5,287.8755295276642
0.6,288.8583998680115
0.7,302.25834226608276
0.8,293.6027829647064
0.9,310.7986776828766
0.1,346.14896035194397
0.2,351.52440905570984
0.3,339.6085834503174
0.4,354.27651143074036
0.5,376.75806760787964
0.6,431.0068006515503
0.7,356.9482283592224
0.8,387.39947962760925
0.9,400.19895577430725
0.1,408.8947148323059
0.2,415.2738125324249
0.3,408.11623525619507
0.4,399.5318977832794
0.5,414.9508674144745
0.6,285.2396421432495
0.7,270.3032820224762
0.8,271.0595631599426
0.9,256.17456245422363
0.1,278.0429289340973
0.2,270.90602827072144
0.3,269.12621116638184
0.4,288.91958570480347
0.5,305.644082069397
0.6,288.1939115524292
0.7,275.82285022735596
0.8,271.26068449020386
0.9,271.904509305954
0.1,315.03472661972046
0.2,451.66410517692566
0.3,440.1077289581299
0.4,427.1600229740143
0.5,346.84464025497437
0.6,337.26288509368896
0.7,425.68888092041016
0.8,400.166184425354
0.9,314.9840922355652
0.1,348.9757843017578
0.2,340.3652710914612
0.3,307.93473196029663
0.4,263.7452127933502
0.5,261.5415925979614
0.6,235.0278344154358
0.7,274.54210448265076
0.8,227.0498332977295
0.9,217.0903091430664
