max_iter,best_fitness
1,0.9473684210526315
6,0.9473684210526315
11,0.9473684210526315
16,0.9605263157894737
21,0.9473684210526315
26,0.9736842105263158
31,0.9473684210526315
36,0.9736842105263158
41,0.9605263157894737
46,0.9736842105263158
1,0.9342105263157895
6,0.9473684210526315
11,0.9605263157894737
16,0.9605263157894737
21,0.9605263157894737
26,0.9605263157894737
31,0.9605263157894737
36,0.9605263157894737
41,0.9605263157894737
46,0.9736842105263158
1,0.9342105263157895
6,0.9605263157894737
11,0.9473684210526315
16,0.9473684210526315
21,0.9605263157894737
26,0.9736842105263158
31,0.9605263157894737
36,0.9605263157894737
41,0.9605263157894737
46,0.9605263157894737
1,0.9473684210526315
6,0.9473684210526315
11,0.9473684210526315
16,0.9605263157894737
21,0.9605263157894737
26,0.9605263157894737
31,0.9736842105263158
36,0.9605263157894737
41,0.9605263157894737
46,0.9605263157894737
1,0.9342105263157895
6,0.9605263157894737
11,0.9473684210526315
16,0.9605263157894737
21,0.9605263157894737
26,0.9605263157894737
31,0.9473684210526315
36,0.9605263157894737
41,0.9605263157894737
46,0.9736842105263158
1,0.9342105263157895
6,0.9473684210526315
11,0.9605263157894737
16,0.9605263157894737
21,0.9736842105263158
26,0.9473684210526315
31,0.9868421052631579
36,0.9736842105263158
41,0.9473684210526315
46,0.9605263157894737
1,0.9473684210526315
6,0.9473684210526315
11,0.9605263157894737
16,0.9736842105263158
21,0.9605263157894737
26,0.9605263157894737
31,0.9605263157894737
36,0.9605263157894737
41,0.9605263157894737
46,0.9605263157894737
1,0.9473684210526315
6,0.9473684210526315
11,0.9605263157894737
16,0.9605263157894737
21,0.9605263157894737
26,0.9736842105263158
31,0.9605263157894737
36,0.9605263157894737
41,0.9605263157894737
46,0.9605263157894737
1,0.9210526315789473
6,0.9473684210526315
11,0.9473684210526315
16,0.9605263157894737
21,0.9605263157894737
26,0.9605263157894737
31,0.9605263157894737
36,0.9868421052631579
41,0.9605263157894737
46,0.9605263157894737
1,0.9342105263157895
6,0.9473684210526315
11,0.9473684210526315
16,0.9605263157894737
21,0.9473684210526315
26,0.9736842105263158
31,0.9605263157894737
36,0.9605263157894737
41,0.9736842105263158
46,0.9605263157894737
