alpha,duration
0.1,209.07671117782593
0.2,248.12392807006836
0.3,242.6247842311859
0.4,217.73554515838623
0.5,203.7660026550293
0.6,230.87935757637024
0.7,229.11640238761902
0.8,189.51176595687866
0.9,201.1731562614441
0.1,238.06535959243774
0.2,214.92429733276367
0.3,219.20385932922363
0.4,211.2348711490631
0.5,197.92690062522888
0.6,202.5176281929016
0.7,200.09535932540894
0.8,189.3587191104889
0.9,195.30198407173157
0.1,190.88626170158386
0.2,217.17453503608704
0.3,191.7680389881134
0.4,183.28500390052795
0.5,214.8484103679657
0.6,180.97611904144287
0.7,178.44878840446472
0.8,189.50182819366455
0.9,189.3907880783081
0.1,193.93725180625916
0.2,202.6450207233429
0.3,205.277086019516
0.4,200.92570638656616
0.5,221.59277772903442
0.6,189.26910758018494
0.7,228.00985407829285
0.8,217.88161492347717
0.9,188.28375363349915
0.1,209.79326224327087
0.2,192.44619369506836
0.3,209.6696970462799
0.4,191.69149017333984
0.5,207.8903148174286
0.6,203.28440308570862
0.7,204.90640330314636
0.8,207.07968878746033
0.9,194.6765205860138
0.1,210.5686013698578
0.2,211.7452597618103
0.3,192.76323294639587
0.4,199.76515126228333
0.5,190.53016757965088
0.6,183.5333285331726
0.7,200.92450380325317
0.8,186.36248254776
0.9,200.94814372062683
0.1,211.5280261039734
0.2,183.72224831581116
0.3,188.98815774917603
0.4,195.1704399585724
0.5,204.11485195159912
0.6,201.61700177192688
0.7,203.4464991092682
0.8,198.8317346572876
0.9,191.73350954055786
0.1,194.38905549049377
0.2,219.99422931671143
0.3,210.68315172195435
0.4,199.78342938423157
0.5,206.58775877952576
0.6,200.05210971832275
0.7,194.0133945941925
0.8,182.91134643554688
0.9,200.26744556427002
0.1,215.34772181510925
0.2,216.16097950935364
0.3,222.79607319831848
0.4,194.03606915473938
0.5,187.55241179466248
0.6,205.46830344200134
0.7,184.46440839767456
0.8,217.02347445487976
0.9,198.18672823905945
0.1,177.67653155326843
0.2,191.46650648117065
0.3,204.0148627758026
0.4,178.9709348678589
0.5,205.99731707572937
0.6,212.36710929870605
0.7,185.81036353111267
0.8,203.927579164505
0.9,264.84075355529785
0.1,237.8776831626892
0.2,262.35063123703003
0.3,227.28903651237488
0.4,244.98323464393616
0.5,231.78605437278748
0.6,221.82439041137695
0.7,239.5682532787323
0.8,239.87397956848145
0.9,240.19408321380615
0.1,229.6809160709381
0.2,195.46609902381897
0.3,168.8860640525818
0.4,161.1120481491089
0.5,175.01953792572021
0.6,156.31359314918518
0.7,152.86250019073486
0.8,161.96632313728333
0.9,158.4137144088745
0.1,150.80123567581177
0.2,163.6842167377472
0.3,167.94483089447021
0.4,166.97547507286072
0.5,166.76182198524475
0.6,162.43383526802063
0.7,164.87910079956055
0.8,162.96059107780457
0.9,160.09974884986877
0.1,161.9784595966339
0.2,166.14199090003967
0.3,161.55284643173218
0.4,155.1528558731079
0.5,168.81372356414795
0.6,158.25388097763062
0.7,167.31198978424072
0.8,156.72225165367126
0.9,165.9045374393463
0.1,162.83567571640015
0.2,170.83456158638
0.3,168.68229961395264
0.4,148.68870282173157
0.5,182.53310680389404
0.6,169.47653532028198
0.7,179.4754581451416
0.8,188.59328889846802
0.9,187.1103434562683
0.1,187.7566623687744
0.2,203.71598649024963
0.3,199.21889114379883
0.4,174.6243119239807
0.5,196.3912332057953
0.6,187.29801440238953
0.7,174.25435161590576
0.8,178.32229709625244
0.9,224.6073281764984
0.1,202.39198112487793
0.2,199.5458676815033
0.3,188.21690011024475
0.4,188.84161591529846
0.5,170.25427269935608
0.6,171.50463962554932
0.7,195.853844165802
0.8,138.83075380325317
0.9,138.1859793663025
0.1,130.15816235542297
0.2,148.06713724136353
0.3,142.34272050857544
0.4,133.09078907966614
0.5,137.10087752342224
0.6,138.12064957618713
0.7,132.7060582637787
0.8,140.67085194587708
0.9,136.1863875389099
0.1,134.00715899467468
0.2,143.041663646698
0.3,148.8126621246338
0.4,147.4962694644928
0.5,155.2739119529724
0.6,139.43039417266846
0.7,132.30376887321472
0.8,143.30631041526794
0.9,139.00438475608826
0.1,142.4231367111206
0.2,149.79773688316345
0.3,124.60937428474426
0.4,144.43501806259155
0.5,140.68168997764587
0.6,141.541179895401
0.7,131.28075456619263
0.8,158.43358397483826
0.9,184.3091266155243
